Position,Value
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.454545454545455474e-01
3.000000000000000000e+00,8.945454545454544215e-01
4.000000000000000000e+00,8.472727272727271774e-01
5.000000000000000000e+00,8.036363636363635932e-01
6.000000000000000000e+00,7.636363636363635576e-01
7.000000000000000000e+00,7.272727272727271819e-01
8.000000000000000000e+00,6.945454545454545769e-01
9.000000000000000000e+00,6.654545454545455208e-01
1.000000000000000000e+01,6.400000000000000133e-01
1.100000000000000000e+01,6.181818181818180546e-01
1.200000000000000000e+01,5.999999999999999778e-01
1.300000000000000000e+01,5.854545454545454497e-01
1.400000000000000000e+01,5.745454545454544704e-01
1.500000000000000000e+01,5.672727272727272618e-01
1.600000000000000000e+01,5.636363636363636020e-01
1.700000000000000000e+01,5.636363636363636020e-01
1.800000000000000000e+01,5.672727272727271508e-01
1.900000000000000000e+01,5.745454545454544704e-01
2.000000000000000000e+01,5.854545454545454497e-01
2.100000000000000000e+01,5.999999999999999778e-01
2.200000000000000000e+01,6.181818181818180546e-01
2.300000000000000000e+01,6.399999999999999023e-01
2.400000000000000000e+01,6.654545454545455208e-01
2.500000000000000000e+01,6.945454545454544659e-01
2.600000000000000000e+01,7.272727272727272929e-01
2.700000000000000000e+01,7.636363636363634466e-01
2.800000000000000000e+01,8.036363636363635932e-01
2.900000000000000000e+01,8.472727272727271774e-01
3.000000000000000000e+01,8.945454545454545325e-01
3.100000000000000000e+01,9.454545454545455474e-01
3.200000000000000000e+01,1.000000000000000000e+00
